,eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
80,rh_G&S_cingul-Ant_thickness,-13403.470924209018,0.3780498452862959,-0.9289791398415368,-26782.02780440367,0.31083120379399365,0.7906461058770894
81,rh_G&S_cingul-Mid-Ant_thickness,-7042.149956165819,0.3102077410990366,-0.41601620062720746,-14059.385868317273,-0.0666545753046503,0.8491746637995339
82,rh_G&S_cingul-Mid-Post_thickness,-13881.922875007156,0.2580479906702521,-0.4728160034442088,-27738.93170599995,0.011072716631140614,1.0198242337445476
83,rh_G_cingul-Post-dorsal_thickness,-7700.936256901992,0.14429671312100611,-0.44467592881471346,-15376.958469789619,-0.13898677928914457,1.5114516487296334
84,rh_G_cingul-Post-ventral_thickness,1502.1459480087303,0.05569943189273574,-0.028613620344495678,3029.2059400318253,0.17235843394314654,0.7750795775668504
85,rh_G_cuneus_thickness,-15203.553801433776,0.5287451064107245,-0.4060390877918209,-30382.19355885319,0.34214537961748037,0.6253028730988665
86,rh_G_front_inf-Opercular_thickness,-9351.236770163814,0.2952768253650464,-0.43318781219631225,-18677.559496313264,-0.025113767030517542,1.0430060645969776
87,rh_G_front_inf-Orbital_thickness,-605.3843955716552,0.12571102889945396,-0.17736825417489832,-1185.8547471289457,-0.1404108673720868,1.0783083700482001
88,rh_G_front_inf-Triangul_thickness,-7216.957413955809,0.2387426537763726,-0.3620875318598981,-14409.000783897252,0.32621736488036085,0.4150910569192562
89,rh_G_front_middle_thickness,-12073.044237988823,0.3460636456517634,-0.6102099553773105,-24121.17443196328,-0.013507578359771446,0.3833618384808252
90,rh_G_front_sup_thickness,-11048.180576457113,0.45074054121176554,-0.6036444122649383,-22071.44710889986,0.24254949705320594,0.8967249531458779
91,rh_G_Ins_lg&S_cent_ins_thickness,7376.75968373023,0.1442262618088348,-0.06393242544137442,14778.433411474825,-0.08326838337844505,-0.17798875898957062
92,rh_G_insular_short_thickness,5557.01400632177,0.2020342579976041,-0.0767554486646562,11138.942056657905,0.10468940308681347,0.11670078821877368
93,rh_G_occipital_middle_thickness,-11223.245468504054,0.23088857839834254,-0.5172208173878545,-22421.576892993744,0.3019273495934981,0.5688768588685652
94,rh_G_occipital_sup_thickness,-8563.320622709613,0.21434940314527007,-0.3642051908903604,-17101.72720140486,0.2534605033920846,1.0403595954982479
95,rh_G_oc-temp_lat-fusifor_thickness,-7289.798111591658,0.33536288150148674,-0.6079161993191555,-14554.68217916895,0.3729949590913839,0.7440059949718922
96,rh_G_oc-temp_med-Lingual_thickness,-11320.03568073282,0.44517577876077696,-0.40024221721724484,-22615.157317451278,0.3035292589900125,0.2775532402151216
97,rh_G_oc-temp_med-Parahip_thickness,1610.043188176448,0.42453804194040146,-0.21947624339487776,3245.0004203672606,-0.49761315525054445,3.409243584751392
